,Columna_1,Columna_3,Columna_4,Columna_5,columna_6,Columna_7,Columna_8,Columna_9,Columna_10
149,150,15,1,1359,2,208,2,209,2
150,151,16,1,1364,2,218,2,208,2
151,152,16,1,1359,2,227,2,209,2
152,153,16,1,1345,2,232,2,209,2
153,154,17,1,1342,2,237,2,210,2
154,155,18,1,1337,2,243,2,209,2
155,156,18,1,1339,2,251,2,209,2
156,157,18,1,1344,2,102,2,210,2
157,158,20,2,1342,2,87,1,210,2
158,159,19,1,1352,2,80,1,212,2
159,160,16,1,1357,1,93,1,212,2
160,161,15,1,1361,2,221,2,213,2
161,162,2,1,1363,2,58,2,213,2
162,163,9,1,1364,2,231,2,212,2
163,164,13,1,1371,1,214,2,212,2
164,165,14,1,1374,1,208,2,211,2
165,166,0,1,1381,1,184,2,212,2
166,167,5,1,1378,1,194,2,212,2
167,168,13,1,1379,1,207,2,212,2
168,169,20,2,1383,2,66,1,212,2
169,170,22,2,1388,2,64,1,212,2
170,171,17,1,1396,2,73,1,211,2
171,172,17,1,1395,1,80,1,211,2
172,173,15,1,1394,2,86,1,211,2
173,174,15,1,1389,2,91,1,211,2
174,175,15,1,1386,2,99,1,211,2
175,176,16,1,1384,2,249,2,211,2
176,177,16,1,1382,2,245,2,211,2
177,178,16,1,1380,2,243,2,211,2
178,179,16,1,1376,2,239,2,210,2
179,180,16,1,1375,2,232,2,208,2
180,181,15,1,1375,2,231,2,208,2
181,182,14,1,1368,2,231,2,207,2
182,183,13,1,1358,2,229,2,207,2
183,184,13,1,1359,2,227,2,208,2
184,185,13,1,1357,2,222,2,208,2
185,186,13,1,1358,2,221,2,208,2
186,187,12,1,1360,2,218,2,208,2
187,188,11,1,1359,2,216,2,208,2
188,189,10,1,1362,2,212,2,208,2
189,190,10,1,1362,2,210,2,208,2
190,191,10,1,1369,2,208,2,208,2
191,192,9,1,1386,2,207,2,208,2
192,193,8,1,1394,2,206,2,208,2
193,194,6,1,1395,2,204,2,209,2
194,195,6,1,1395,2,205,2,209,2
195,196,5,1,1395,2,206,2,209,2
196,197,3,1,1395,2,206,2,210,2
197,198,3,1,1393,2,206,2,210,2
198,199,3,1,1393,2,205,2,209,2
199,200,3,1,1394,2,203,2,209,2
200,201,3,1,1395,2,202,2,208,2
201,202,3,1,1396,2,201,2,207,2
202,203,3,1,1397,2,200,2,206,2
203,204,4,1,1387,2,199,2,204,2
204,205,2,1,1402,2,194,2,203,2
205,206,3,1,1418,1,194,2,201,2
206,207,5,1,1434,1,196,2,200,2
207,208,8,1,1452,1,197,2,201,2
208,209,6,1,1480,1,193,2,202,2
209,210,5,1,1474,1,194,2,202,2
210,211,5,1,1490,2,194,2,205,2
211,212,3,1,1494,1,191,2,206,2
212,213,2,1,1482,2,179,2,210,2
213,214,5,1,1480,1,177,2,216,2
214,215,12,1,1422,1,208,2,222,2
215,216,13,1,1346,2,174,2,230,2
216,217,11,1,1348,2,178,2,241,2
217,218,10,1,1357,2,182,2,248,2
218,219,8,1,1361,1,201,2,260,2
219,220,21,2,1367,1,234,2,268,2
220,221,25,2,1373,1,215,2,83,1
221,222,26,2,1370,1,231,2,76,1
222,223,28,2,1376,1,83,1,71,1
223,224,25,2,1365,2,109,2,67,1
224,225,20,2,1367,2,79,1,64,1
225,226,28,2,1375,1,64,1,62,1
226,227,36,2,1379,2,70,1,59,2
227,228,34,2,1381,2,67,1,57,2
228,229,39,2,1382,2,75,1,56,2
229,230,38,2,1391,2,76,1,56,2
230,231,39,2,1365,2,71,1,57,2
231,232,23,2,1367,1,55,2,59,2
232,233,18,1,1360,1,62,1,61,1
233,234,30,2,1369,2,84,1,63,1
234,235,27,2,1377,1,95,1,67,1
235,236,15,1,1377,1,93,1,78,1
236,237,9,1,1391,2,258,2,89,1
237,238,9,1,1404,2,226,2,96,1
238,239,7,1,1382,2,237,2,256,2
239,240,6,1,1375,1,208,2,250,2
